State,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,MMR,IMR,GDP_PC,Poor_GDP_PC,Total Number of reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres
Madhya Pradesh,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,94.89,98.32,14.98,91.04,100.95,85.67,110.56,147.57,24.98,90998.0,1.0,1359708.0,124472.0,31952.0,2003.0,1875916.0,2550.0,11800.0,1461.0,394.0,207.0,51.0,13913.0
Madhya Pradesh,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,95.42,98.37,16.08,90.48,99.47,84.91,130.08,158.57,24.98,95548.0,1.0,1333002.0,1416142.0,30912.0,2079.0,1853638.0,4641.0,11800.0,1469.0,394.0,207.0,51.0,13921.0
Maharashtra,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,98.82,99.01,12.9,91.95,111.16,63.11,105.53,62.86,11.35,176102.0,0.0,1753959.0,23023.0,17265.0,1250.0,2180670.0,3920.0,10955.0,2672.0,459.0,154.0,107.0,13940.0
Maharashtra,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,98.97,99.01,13.04,92.65,111.71,59.95,106.1,62.65,11.15,191736.0,0.0,1720964.0,441190.0,17353.0,1265.0,2100266.0,4935.0,11007.0,2667.0,459.0,155.0,107.0,13971.0
Maharashtra,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,99.11,99.03,14.54,99.2,124.88,63.88,119.56,79.18,10.41,207727.0,0.0,1606804.0,1659741.0,15033.0,1314.0,2090366.0,6755.0,11011.0,2669.0,459.0,155.0,108.0,13978.0
Manipur,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,72.21,99.57,2.73,63.9,157.98,56.4,146.01,76.37,5.57,65008.0,1.0,38577.0,17.0,141.0,23.0,55807.0,288.0,440.0,91.0,38.0,38.0,9.0,579.0
Manipur,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,73.94,99.49,2.56,67.63,160.33,62.3,137.22,51.43,2.87,69978.0,1.0,37991.0,24378.0,82.0,12.0,57301.0,441.0,440.0,94.0,39.0,39.0,9.0,583.0
Manipur,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,76.7,99.54,2.97,70.14,154.53,66.13,157.64,53.09,3.48,73477.0,1.0,36578.0,31278.0,114.0,34.0,52316.0,756.0,440.0,94.0,39.0,39.0,9.0,583.0
Meghalaya,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,45.59,98.14,6.33,54.71,99.14,40.3,78.49,287.34,29.31,81098.0,1.0,83269.0,266.0,2512.0,197.0,131034.0,198.0,484.0,138.0,29.0,29.0,28.0,674.0
Meghalaya,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,47.86,98.14,6.22,51.71,98.99,41.73,63.51,189.24,22.69,89023.0,1.0,83258.0,4358.0,2073.0,164.0,141030.0,297.0,479.0,143.0,29.0,29.0,28.0,674.0
Meghalaya,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,50.85,97.97,6.53,59.17,105.25,44.82,96.52,199.65,29.24,98151.0,1.0,86242.0,49375.0,2420.0,167.0,132858.0,682.0,479.0,143.0,29.0,29.0,28.0,674.0
Mizoram,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,84.77,99.17,4.12,44.38,101.41,48.33,94.73,114.38,21.86,146764.0,0.0,19393.0,1077.0,390.0,19.0,21582.0,72.0,368.0,66.0,14.0,22.0,16.0,474.0
Mizoram,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,84.36,99.13,4.6,45.84,107.44,50.13,96.36,125.23,19.26,168625.0,0.0,19289.0,12331.0,340.0,26.0,22750.0,99.0,368.0,65.0,22.0,23.0,15.0,472.0
Mizoram,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,86.09,99.33,4.32,64.7,127.57,67.73,139.66,38.94,20.48,201741.0,0.0,16217.0,14955.0,277.0,7.0,21451.0,333.0,368.0,65.0,22.0,23.0,15.0,472.0
Nagaland,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,73.3,98.67,2.21,84.01,121.66,62.82,105.89,133.81,7.99,104680.0,1.0,19697.0,8.0,216.0,30.0,37217.0,187.0,424.0,141.0,31.0,31.0,14.0,607.0
Nagaland,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,75.66,98.82,2.39,74.55,114.4,60.34,93.04,66.67,8.24,116882.0,0.0,19606.0,3995.0,213.0,18.0,37553.0,198.0,425.0,144.0,31.0,31.0,14.0,611.0
Nagaland,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,77.25,98.85,2.78,76.41,117.64,61.29,100.04,101.47,7.09,122726.0,0.0,19619.0,14545.0,164.0,21.0,37532.0,396.0,424.0,144.0,31.0,31.0,14.0,610.0
Odisha,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,93.98,97.87,18.0,93.36,107.49,83.52,82.72,161.49,23.57,84495.0,1.0,608034.0,166.0,13433.0,932.0,739001.0,1980.0,6690.0,1377.0,418.0,145.0,38.0,8556.0
Odisha,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,95.59,97.93,18.99,87.93,100.49,78.04,115.76,99.07,21.75,95163.0,1.0,646668.0,576027.0,13453.0,596.0,738453.0,2460.0,6690.0,1379.0,418.0,145.0,38.0,8558.0
Odisha,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,96.82,97.86,18.96,92.47,103.4,82.63,118.13,97.83,20.15,101586.0,1.0,574665.0,605487.0,11960.0,616.0,688085.0,5310.0,6690.0,1379.0,418.0,145.0,38.0,8558.0
Puducherry,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,99.98,99.35,8.5,98.08,97.72,98.05,91.4,66.25,11.36,203583.0,0.0,42529.0,14321.0,532.0,29.0,88665.0,68.0,80.0,44.0,8.0,9.0,4.0,137.0
Puducherry,2018.0,0.0,0.0,1.0,0.0,0.0,0.0,99.8,99.48,8.9,96.43,96.43,95.43,113.85,27.22,11.07,220460.0,0.0,43695.0,14145.0,410.0,22.0,98869.0,124.0,80.0,44.0,8.0,9.0,4.0,137.0
Puducherry,2019.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,99.45,8.3,98.98,98.98,99.55,86.7,9.58,7.18,237278.0,0.0,32694.0,11716.0,353.0,11.0,67338.0,476.0,80.0,44.0,8.0,9.0,4.0,137.0
Punjab,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,96.95,98.63,8.74,91.64,108.1,76.46,110.05,147.9,10.39,142476.0,0.0,371692.0,44.0,3405.0,558.0,464094.0,1166.0,3175.0,522.0,301.0,57.0,29.0,4072.0
Punjab,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,97.66,98.71,8.52,95.42,108.99,79.11,104.71,123.27,8.52,154995.0,0.0,371274.0,321481.0,2629.0,462.0,456150.0,1320.0,3159.0,523.0,302.0,57.0,29.0,4058.0
Punjab,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,98.45,98.78,8.63,92.5,106.26,77.28,115.59,109.71,7.8,162746.0,0.0,349105.0,355128.0,2351.0,363.0,414960.0,2750.0,3153.0,523.0,302.0,57.0,29.0,4052.0
Rajasthan,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,97.38,98.24,14.06,78.75,107.38,72.85,107.13,93.4,13.54,99366.0,1.0,1383200.0,3009.0,17852.0,1213.0,1884090.0,3927.0,13559.0,2459.0,595.0,349.0,68.0,16994.0
Rajasthan,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,97.83,98.29,14.09,77.39,104.05,71.26,104.31,99.81,22.41,110605.0,0.0,1368982.0,494.0,31158.0,1339.0,1825723.0,4818.0,13523.0,2477.0,613.0,354.0,138.0,16994.0
Rajasthan,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,98.32,98.26,14.33,79.15,102.97,68.99,102.31,103.57,21.03,118158.0,0.0,1241044.0,433438.0,26431.0,1246.0,1601053.0,6435.0,13523.0,2477.0,613.0,354.0,138.0,16994.0
Sikkim,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,98.07,98.4,6.55,97.15,99.82,91.3,150.2,82.73,22.1,317133.0,0.0,7268.0,7.0,107.0,9.0,8925.0,36.0,159.0,25.0,14.0,14.0,5.0,192.0
Sikkim,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,98.7,97.18,6.85,95.55,97.48,90.05,177.38,224.78,19.75,357643.0,0.0,7041.0,167.0,128.0,11.0,9420.0,36.0,160.0,25.0,14.0,14.0,5.0,193.0
Sikkim,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0,98.62,6.32,91.55,89.85,87.93,172.52,328.32,14.45,375525.0,0.0,6660.0,4371.0,73.0,17.0,8768.0,184.0,160.0,25.0,14.0,14.0,5.0,193.0
Tamil Nadu,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,99.99,99.29,16.17,104.7,105.56,101.52,113.81,62.77,8.48,171582.0,0.0,904547.0,658732.0,7644.0,683.0,1022933.0,5376.0,8872.0,1892.0,432.0,309.0,32.0,11377.0
